#Leapfrog 3D bezier polyline file (v1.2).
#Point X, Point Y, Point Z, Normal X, Normal Y, Normal Z, Control0 X, Control0 Y, Control0 Z, Control1 X, Control1 Y, Control1 Z, STangent X, STangent Y, STangent Z
421285.426471, 4391678.54093, 3690.40851902, None, None, None, 421285.426471, 4391678.54093, 3690.40851902, 421285.426471, 4391678.54093, 3690.40851902, 0, 0, 0
421286.955596, 4391680.91596, 3690, None, None, None, 421286.955596, 4391680.91596, 3690, 421286.955596, 4391680.91596, 3690, 0, 0, 0
421287.939765, 4391682.44456, 3688.9482833, None, None, None, 421287.939765, 4391682.44456, 3688.9482833, 421287.939765, 4391682.44456, 3688.9482833, 0, 0, 0
421290.69869, 4391686.7297, 3686.8968896, None, None, None, 421290.69869, 4391686.7297, 3686.8968896, 421290.69869, 4391686.7297, 3686.8968896, 0, 0, 0
421291.550355, 4391688.0525, 3686.49116549, None, None, None, 421291.550355, 4391688.0525, 3686.49116549, 421291.550355, 4391688.0525, 3686.49116549, 0, 0, 0
421294.091972, 4391692.00011, 3685.28036597, None, None, None, 421294.091972, 4391692.00011, 3685.28036597, 421294.091972, 4391692.00011, 3685.28036597, 0, 0, 0
421294.441784, 4391692.54344, 3684.82942119, None, None, None, 421294.441784, 4391692.54344, 3684.82942119, 421294.441784, 4391692.54344, 3684.82942119, 0, 0, 0
421294.985295, 4391693.38762, 3684.41918538, None, None, None, 421294.985295, 4391693.38762, 3684.41918538, 421294.985295, 4391693.38762, 3684.41918538, 0, 0, 0
421298.184878, 4391698.35718, 3681.3347256, None, None, None, 421298.184878, 4391698.35718, 3681.3347256, 421298.184878, 4391698.35718, 3681.3347256, 0, 0, 0
421300.244179, 4391701.55567, 3679.89967964, None, None, None, 421300.244179, 4391701.55567, 3679.89967964, 421300.244179, 4391701.55567, 3679.89967964, 0, 0, 0
421301.237436, 4391703.09839, 3679.53041228, None, None, None, 421301.237436, 4391703.09839, 3679.53041228, 421301.237436, 4391703.09839, 3679.53041228, 0, 0, 0
421301.927971, 4391704.17092, 3679.27368921, None, None, None, 421301.927971, 4391704.17092, 3679.27368921, 421301.927971, 4391704.17092, 3679.27368921, 0, 0, 0
421304.544118, 4391708.2343, 3679, None, None, None, 421304.544118, 4391708.2343, 3679, 421304.544118, 4391708.2343, 3679, 0, 0, 0
421305.671065, 4391709.98466, 3678.64631202, None, None, None, 421305.671065, 4391709.98466, 3678.64631202, 421305.671065, 4391709.98466, 3678.64631202, 0, 0, 0
421306.396386, 4391711.11122, 3678.41867296, None, None, None, 421306.396386, 4391711.11122, 3678.41867296, 421306.396386, 4391711.11122, 3678.41867296, 0, 0, 0
421309.414159, 4391715.7984, 3676.98103762, None, None, None, 421309.414159, 4391715.7984, 3676.98103762, 421309.414159, 4391715.7984, 3676.98103762, 0, 0, 0
421310.924518, 4391718.14428, 3676.66502411, None, None, None, 421310.924518, 4391718.14428, 3676.66502411, 421310.924518, 4391718.14428, 3676.66502411, 0, 0, 0
